Reference;Family;Genus;Species;Binomial;Group;life_span;growth_form;sla;sla_sd;sla_se;max_height;min_height;herbivores;tm;tm_var;tm_sd;tm_se;occ;Complete Reference
Abbott_(1989);Brassicaceae;Arabidopsis;thaliana;Arabidopsis_thaliana;D;Annual;Herb;37.9;;;0.5;0.05;8;0.0028;;;;129028;Abbott RJ, MF Gomes. 1989. Population genetic structure and outcrossing rate of Arabidopsis thaliana (L.) Heynh. Heredity 62:411_418
Tedder_(2011);Brassicaceae;Arabis;alpina;Arabis_alpina;D;Perennial;Herb;26.32;;;0.4;0.05;2;0;;;;29038;A. Tedder, S. W. Ansell, X. Lao, J. C. Vogel and B. K. Mable. 2011. Sporophytic self_incompatibility genes and mating system variation in Arabis alpina. Annals of Botany 108: 699_713.
Tedder_(2011);Brassicaceae;Arabis;alpina;Arabis_alpina;D;Perennial;Herb;26.32;;;0.4;0.05;2;0.144;;;0.075;29038;A. Tedder, S. W. Ansell, X. Lao, J. C. Vogel and B. K. Mable. 2011. Sporophytic self_incompatibility genes and mating system variation in Arabis alpina. Annals of Botany 108: 699_713.
Tedder_(2011);Brassicaceae;Arabis;alpina;Arabis_alpina;D;Perennial;Herb;26.32;;;0.4;0.05;2;0.899;;;0.046;29038;A. Tedder, S. W. Ansell, X. Lao, J. C. Vogel and B. K. Mable. 2011. Sporophytic self_incompatibility genes and mating system variation in Arabis alpina. Annals of Botany 108: 699_713.
Tedder_(2011);Brassicaceae;Arabis;alpina;Arabis_alpina;D;Perennial;Herb;26.32;;;0.4;0.05;2;0.978;;;0.066;29038;A. Tedder, S. W. Ansell, X. Lao, J. C. Vogel and B. K. Mable. 2011. Sporophytic self_incompatibility genes and mating system variation in Arabis alpina. Annals of Botany 108: 699_713.
Tedder_(2011);Brassicaceae;Arabis;alpina;Arabis_alpina;D;Perennial;Herb;26.32;;;0.4;0.05;2;0.779;;;0.08;29038;A. Tedder, S. W. Ansell, X. Lao, J. C. Vogel and B. K. Mable. 2011. Sporophytic self_incompatibility genes and mating system variation in Arabis alpina. Annals of Botany 108: 699_713.
Petit_(1997);Poaceae;Arrhenatherum;elatius;Arrhenatherum_elatius;M;Perennial;Herb;20.9;;;1.8;0.4;1;0.642;;;0.108;452217;Petit, C., P. Lesbros, X. J. Ge, and J. D. Thompson. 1997. Variation in flowering phenology and selfing rate across a contact zone between diploid and tetraploid Arrhenatherum elatius (Poaceae). Heredity 79:31_40.
Petit_(1997);Poaceae;Arrhenatherum;elatius;Arrhenatherum_elatius;M;Perennial;Herb;20.9;;;1.8;0.4;1;0.93;;;0.087;452217;Petit, C., P. Lesbros, X. J. Ge, and J. D. Thompson. 1997. Variation in flowering phenology and selfing rate across a contact zone between diploid and tetraploid Arrhenatherum elatius (Poaceae). Heredity 79:31_40.
Petit_(1997);Poaceae;Arrhenatherum;elatius;Arrhenatherum_elatius;M;Perennial;Herb;20.9;;;1.8;0.4;1;0.541;;;0.079;452217;Petit, C., P. Lesbros, X. J. Ge, and J. D. Thompson. 1997. Variation in flowering phenology and selfing rate across a contact zone between diploid and tetraploid Arrhenatherum elatius (Poaceae). Heredity 79:31_40.
Petit_(1997);Poaceae;Arrhenatherum;elatius;Arrhenatherum_elatius;M;Perennial;Herb;20.9;;;1.8;0.4;1;0.701;;;0.103;452217;Petit, C., P. Lesbros, X. J. Ge, and J. D. Thompson. 1997. Variation in flowering phenology and selfing rate across a contact zone between diploid and tetraploid Arrhenatherum elatius (Poaceae). Heredity 79:31_40.
